WKT,SA22018_V1_00,SA22018_V1_NAME,LAND_AREA_SQ_KM,AREA_SQ_KM,EASTING,NORTHING,LATITUDE,LONGITUDE,Shape_X,Shape_Y
"POINT (1397022.7936 4912297.5849)",350200,Saddle Hill-Chain Hills,47.41641892,47.41641892,1397022.7936,4912297.5849,-45.91291031,170.38272517,1397022.7936,4912297.5849
"POINT (1394550.7148 4914649.1069)",350300,East Taieri,3.11996211,3.11996211,1394550.71475,4914649.1069,-45.89103385,170.35188942,1394550.7148,4914649.1069
"POINT (1403325.8317 4918711.8716)",350400,Halfway Bush,1.70481455,1.70481455,1403325.8317,4918711.87155,-45.85706687,170.46654228,1403325.8317,4918711.8716
"POINT (1404607.991 4919609.1489)",350500,Helensburgh,1.46131297,1.46131297,1404607.991,4919609.1489,-45.84936353,170.48340641,1404607.991,4919609.1489
"POINT (1405844.4043 4920331.9095)",350600,Glenleith,2.12346077,2.12346077,1405844.4043,4920331.9095,-45.84321396,170.49960706,1405844.4043,4920331.9095
"POINT (1398383.3987 4913598.4744)",350700,Fairfield (Dunedin City),3.9557389,3.9557389,1398383.39865,4913598.4744,-45.90161406,170.40079741,1398383.3987,4913598.4744
"POINT (1414956.4459 4921160.0117)",350800,Inlet Otago Harbour,0,47.6029179,1414956.4459,4921160.01175,-45.83827386,170.6171676,1414956.4459,4921160.0117
"POINT (1402977.2034 4917607.4679)",350900,Brockville,1.47132967,1.47132967,1402977.2034,4917607.46785,-45.86689774,170.4616037,1402977.2034,4917607.4679
"POINT (1404857.9144 4918613.5084)",351000,Wakari,2.2062971,2.2062971,1404857.9144,4918613.50845,-45.85838705,170.48621864,1404857.9144,4918613.5084
"POINT (1400064.6025 4914037.4073)",351100,Abbotsford,2.3645374,2.3645374,1400064.6025,4914037.4073,-45.89815819,170.42263162,1400064.6025,4914037.4073
"POINT (1396443.1627 4909938.2943)",351200,Brighton,3.39318287,3.39318287,1396443.16265,4909938.29425,-45.93395134,170.37425787,1396443.1627,4909938.2943
"POINT (1406970.1793 4919806.2584)",351300,Pine Hill-Dalmore,1.17720849,1.17720849,1406970.17925,4919806.2584,-45.84825689,170.51388061,1406970.1793,4919806.2584
"POINT (1402085.4253 4914305.8844)",351400,Kaikorai-Bradford,3.43901556,3.43901556,1402085.4253,4914305.88435,-45.89632854,170.44876643,1402085.4253,4914305.8844
"POINT (1405975.7947 4918716.3625)",351500,Maori Hill,1.0106075,1.0106075,1405975.7947,4918716.3625,-45.85777797,170.50064652,1405975.7947,4918716.3625
"POINT (1405318.3582 4917656.9019)",351600,Roslyn (Dunedin City),1.29448954,1.29448954,1405318.35825,4917656.90185,-45.86711907,170.4917572,1405318.3582,4917656.9019
"POINT (1408192.3118 4920003.0675)",351700,North East Valley Chingford,1.0826699,1.0826699,1408192.31175,4920003.06745,-45.84682841,170.52968456,1408192.3118,4920003.0675
"POINT (1412912.5479 4922229.7475)",351800,Roseneath-Sawyers Bay,4.96568148,4.96568148,1412912.5479,4922229.7475,-45.8281024,170.59128669,1412912.5479,4922229.7475
"POINT (1409356.6358 4920602.6696)",351900,Normanby,1.41870905,1.41870905,1409356.6358,4920602.66965,-45.8417597,170.54490341,1409356.6358,4920602.6696
"POINT (1407643.7493 4919367.9942)",352000,North East Valley Knox,0.66777942,0.66777942,1407643.74925,4919367.99415,-45.85238619,170.52237253,1407643.7493,4919367.9942
"POINT (1404539.7204 4916776.3132)",352100,Belleknowes,1.12695015,1.12695015,1404539.7204,4916776.3132,-45.87481662,170.4813773,1404539.7204,4916776.3132
